,edit_count,sentiment,neg_sentiment
2010-04-06,0.03333333333333333,0.02919591267903646,0.0
2010-04-07,0.03333333333333333,0.02919591267903646,0.0
2010-04-08,0.03333333333333333,0.02919591267903646,0.0
2010-04-09,0.03333333333333333,0.02919591267903646,0.0
2010-04-10,0.03333333333333333,0.02919591267903646,0.0
2010-04-11,0.03333333333333333,0.02919591267903646,0.0
2010-04-12,0.03333333333333333,0.02919591267903646,0.0
2010-04-13,0.16666666666666666,0.05734110027551651,0.0
2010-04-14,0.16666666666666666,0.05734110027551651,0.0
2010-04-15,0.43333333333333335,0.06725963428616524,0.004166666666666667
2010-04-16,0.43333333333333335,0.06725963428616524,0.004166666666666667
2010-04-17,0.4,0.03806372160712878,0.004166666666666667
2010-04-18,0.4,0.03806372160712878,0.004166666666666667
2010-04-19,0.4,0.03806372160712878,0.004166666666666667
2010-04-20,0.4,0.03806372160712878,0.004166666666666667
2010-04-21,0.4,0.03806372160712878,0.004166666666666667
2010-04-22,0.4,0.03806372160712878,0.004166666666666667
2010-04-23,0.4,0.03806372160712878,0.004166666666666667
2010-04-24,0.4,0.03806372160712878,0.004166666666666667
2010-04-25,0.4,0.03806372160712878,0.004166666666666667
2010-04-26,0.4,0.03806372160712878,0.004166666666666667
2010-04-27,0.4,0.03806372160712878,0.004166666666666667
2010-04-28,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-04-29,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-04-30,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-01,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-02,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-03,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-04,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-05,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-06,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-07,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-08,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-09,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-10,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-11,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-12,0.4666666666666667,0.021563604225715002,0.020833333333333332
2010-05-13,0.36666666666666664,-0.03879771505792936,0.05416666666666667
2010-05-14,0.36666666666666664,-0.03879771505792936,0.05416666666666667
2010-05-15,0.1,-0.048716249068578084,0.05
2010-05-16,0.1,-0.048716249068578084,0.05
2010-05-17,0.1,-0.048716249068578084,0.05
2010-05-18,0.1,-0.048716249068578084,0.05
2010-05-19,0.1,-0.048716249068578084,0.05
2010-05-20,0.1,-0.048716249068578084,0.05
2010-05-21,0.1,-0.048716249068578084,0.05
2010-05-22,0.1,-0.048716249068578084,0.05
2010-05-23,0.1,-0.048716249068578084,0.05
2010-05-24,0.1,-0.048716249068578084,0.05
2010-05-25,0.1,-0.048716249068578084,0.05
2010-05-26,0.1,-0.048716249068578084,0.05
2010-05-27,0.1,-0.048716249068578084,0.05
2010-05-28,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-05-29,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-05-30,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-05-31,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-01,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-02,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-03,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-04,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-05,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-06,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-07,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-08,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-09,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-10,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-11,0.03333333333333333,-0.03221613168716431,0.03333333333333333
2010-06-12,0.0,0.0,0.0
2010-06-13,0.0,0.0,0.0
2010-06-14,0.0,0.0,0.0
2010-06-15,0.0,0.0,0.0
2010-06-16,0.0,0.0,0.0
2010-06-17,0.06666666666666667,0.0331915279229482,0.0
2010-06-18,0.36666666666666664,0.04515548569184762,0.01111111111111111
2010-06-19,0.4,0.07807412368279916,0.01111111111111111
2010-06-20,0.5,0.1103534475520805,0.01111111111111111
2010-06-21,0.7333333333333333,0.12375471263966233,0.015873015873015872
2010-06-22,0.7333333333333333,0.12375471263966233,0.015873015873015872
2010-06-23,0.8666666666666667,0.15225348889670046,0.015873015873015872
2010-06-24,0.8666666666666667,0.15225348889670046,0.015873015873015872
2010-06-25,0.8666666666666667,0.15225348889670046,0.015873015873015872
2010-06-26,0.8666666666666667,0.15225348889670046,0.015873015873015872
2010-06-27,0.8666666666666667,0.15225348889670046,0.015873015873015872
2010-06-28,1.0,0.14922359804154706,0.024206349206349207
2010-06-29,1.0333333333333334,0.14922359804154706,0.024206349206349207
2010-06-30,1.0333333333333334,0.14922359804154706,0.024206349206349207
2010-07-01,1.0333333333333334,0.14922359804154706,0.024206349206349207
2010-07-02,1.0333333333333334,0.14922359804154706,0.024206349206349207
2010-07-03,1.0333333333333334,0.14922359804154706,0.024206349206349207
2010-07-04,1.0333333333333334,0.14922359804154706,0.024206349206349207
